company,mdate,WorkingCapital_TotalAssets,RetainedEarnings_TotalAssets,CashFlow_TotalDebt,TotalDebt_TotalAssets,CurrentRatio,stock_prefix,WorkingCapital_TotalAssets_miss,RetainedEarnings_TotalAssets_miss,CashFlow_TotalDebt_miss,TotalDebt_TotalAssets_miss,CurrentRatio_miss,Merge_Code,產業別,GICS_Category
1522 堤維西,2020/12,0.09041282694010593,0.09275574508260809,0.1639660363807221,0.5336911669370141,0.8508294150859717,15,0,0,0,0,0,1522,汽車工業,5
1522 堤維西,2019/06,0.05515342676752459,0.08446799816129325,0.0304466691990527,0.5428730004043474,0.7715779322478689,15,0,0,0,0,0,1522,汽車工業,5
1522 堤維西,2017/06,0.07904843671151385,0.08543153930782543,0.05160526875236696,0.5130218889187979,0.8076307311368482,15,0,0,0,0,0,1522,汽車工業,5
1522 堤維西,2017/12,0.05785745640361092,0.09198474485417527,0.1094999488939302,0.5170868042677906,0.7769510695578141,15,0,0,0,0,0,1522,汽車工業,5
1522 堤維西,2018/06,0.08179018504964189,0.08667582415167215,0.02317275021460078,0.526488620116222,0.8169218567234058,15,0,0,0,0,0,1522,汽車工業,5
1522 堤維西,2022/06,0.07374567776919233,0.09613747999976993,0.01075578248000738,0.5061901577085317,0.7935695633032318,15,0,0,0,0,0,1522,汽車工業,5
1522 堤維西,2024/12,0.1029686292592686,0.1472308328898773,0.1727288012696817,0.4791559587131248,0.8465073099578797,15,0,0,0,0,0,1522,汽車工業,5
1522 堤維西,2016/06,0.03279648221248145,0.07271748203438322,0.08391817704043783,0.5130238221880689,0.7339438644623845,15,0,0,0,0,0,1522,汽車工業,5
1522 堤維西,2015/06,0.02377423505589228,0.05043599882768191,0.06920888030281416,0.509802932682366,0.7218352011637647,15,0,0,0,0,0,1522,汽車工業,5
1522 堤維西,2022/12,0.1230371618415477,0.1089493884230499,0.07851252262125137,0.4995237209637101,0.8803116507920203,15,0,0,0,0,0,1522,汽車工業,5
1524 耿鼎,2022/06,0.131360574585623,0.1104165193638273,0.07627595298573694,0.4528882537391717,0.9527648651246379,15,0,0,0,0,0,1524,汽車工業,5
1524 耿鼎,2014/12,0.01461218446537372,0.02033720814894474,0.1547972982548736,0.4547489050064526,0.7209225071567682,15,0,0,0,0,0,1524,汽車工業,5
1524 耿鼎,2023/06,0.1372864275581888,0.1456035934429043,0.1239477873206372,0.4052682015544573,1.048398233597205,15,0,0,0,0,0,1524,汽車工業,5
1524 耿鼎,2021/12,0.1227651023921644,0.09400241971358385,0.03607302247697433,0.4599931245414792,0.9618611010021604,15,0,0,0,0,0,1524,汽車工業,5
1524 耿鼎,2019/12,-0.009648433019987766,0.1005912693095874,0.1269953494553644,0.4328299865213388,0.6774519745346149,15,0,0,0,0,0,1524,汽車工業,5
1524 耿鼎,2023/12,0.1509026262154399,0.1726452626036944,0.2964488787883475,0.401467080433864,1.030305016791683,15,0,0,0,0,0,1524,汽車工業,5
1524 耿鼎,2024/12,0.1699499719789714,0.2353074288864086,0.2656744039491472,0.3418202912627143,1.166924746261639,15,0,0,0,0,0,1524,汽車工業,5
1524 耿鼎,2017/06,0.03594473570445432,0.05183479980146687,0.05999520320013182,0.4497348347074861,0.7586869387632151,15,0,0,0,0,0,1524,汽車工業,5
1524 耿鼎,2018/06,0.002388682926175346,0.07201924456261409,0.08657642414888579,0.4443787249031582,0.6970842204498757,15,0,0,0,0,0,1524,汽車工業,5
1524 耿鼎,2020/06,0.04142065988486812,0.09034431580794783,0.05481998037052064,0.4427533270929706,0.7708199216107792,15,0,0,0,0,0,1524,汽車工業,5
1524 耿鼎,2022/12,0.1385688471378465,0.1404770336616201,0.2108436861908308,0.4285056618904869,0.9803357861310988,15,0,0,0,0,0,1524,汽車工業,5
