coid,mdate,tcri,scr,xcdt,company,WorkingCapital_TotalAssets,RetainedEarnings_TotalAssets,CashFlow_TotalDebt,TotalDebt_TotalAssets,CurrentRatio,stock_prefix,WorkingCapital_TotalAssets_miss,RetainedEarnings_TotalAssets_miss,CashFlow_TotalDebt_miss,TotalDebt_TotalAssets_miss,CurrentRatio_miss,產業別,GICS_Category
3006,2020-12-01,5,627.0,,3006 晶豪科,0.4345607505294568,0.3493962974955651,0.0889898717595494,0.3182262707801984,1.249251701168091,30,0,0,0,0,0,半導體業,1
3006,2021-12-01,5,920.0,,3006 晶豪科,0.412868848592681,0.3962366348680994,0.739042397008227,0.3180512219766854,1.219413267061024,30,0,0,0,0,0,半導體業,1
3006,2022-12-01,5,571.0,,3006 晶豪科,0.3244310515907423,0.3615449340008795,-0.3546969404172797,0.3507656397707545,1.101605563181395,30,0,0,0,0,0,半導體業,1
3006,2023-12-01,5,249.0,,3006 晶豪科,0.3416513151113418,0.3211485439352529,0.0226021568379629,0.3728345580496886,1.160730719363156,30,0,0,0,0,0,半導體業,1
3006,2024-12-01,5,447.0,,3006 晶豪科,0.4426655066652888,0.3412925887409866,0.014727181460655,0.3491449435362278,1.374181921976446,30,0,0,0,0,0,半導體業,1
3011,2014-12-01,7,373.0,,3011 今皓,0.285486851107803,0.0401847316415093,0.1040791157688082,0.2874242164220214,1.135899668632698,30,0,0,0,0,0,電子零組件業,1
3011,2015-12-01,7,373.0,,3011 今皓,0.2637915546246093,-0.0062352790607721,0.030733207379992,0.3110002031266116,1.064309528417536,30,0,0,0,0,0,電子零組件業,1
3011,2016-12-01,7,382.0,,3011 今皓,0.291661457690644,-0.0057101110572769,0.2473341772481248,0.2961828881103841,1.131942398602285,30,0,0,0,0,0,電子零組件業,1
3011,2017-12-01,7,293.0,,3011 今皓,0.2905897285112193,-0.0615413422324453,-0.0631043515861573,0.2881402426884295,1.145694184440566,30,0,0,0,0,0,電子零組件業,1
3011,2018-12-01,7,308.0,,3011 今皓,0.2607916051937161,-0.0663646326952975,-0.1277674382360997,0.3420159295513877,1.028186158817016,30,0,0,0,0,0,電子零組件業,1
